osm_id,name,religion,denomination,type
164908486,Cappella di San Giacomo minore,,,polygon
79241018,Cappella di San Grato,,,polygon
781843893,S.Antonio,,,point
48917308,Chiesa di San Mauro,,,polygon
167278505,Policlinico di Modena,,,polygon
96559981,Chiesa di San Pietro a Cedda,,,polygon
1696842952,Madonna di Gree,,,point
164908501,Cappella dalla Madonna dello spasimo,,,polygon
154202104,Certosa di Serra San Bruno,,,line
222477034,S. Francesco,,,polygon
221852228,Chiesa Santa Maria Nascente,,,polygon
178541833,San Luca,,,polygon
69900515,Chiesa dei SS. Pietro e Paolo,,,polygon
110331115,Corma degli Ordieri,,,polygon
183252071,Chiesa S. Maria,,,polygon
1669198127,Calvario,,,point
2166004313,Cesano,,,point
1776168567,Chiesa di S. Francesco,,,point
218714568,Madonna della Guardia,,,polygon
164908494,Cappella di Simone Fariseo,,,polygon
290029340,St. Vigil,,,point
2056384917,Parrocchia Santa Maria degli Angeli,,,point
1893926989,chiesa,,,point
753786829,San Rocco,,,point
771375517,Capitello,,,point
168272292,Church,,,polygon
1815948389,Eremo San Michele,,,point
218453745,Monastero di Sant'Agostino,,,polygon
182027159,Chiesa Santa Maria Immacolata,,,polygon
138956483,Chiesa parrocchiale S. Bartolomeo,,,polygon
147741215,San Floriano,,,polygon
986521741,Parrocchia del Sacro Cuore,,,point
198765762,Chiesa,,,polygon
46852935,Ex Convento della Santissima Trinità,,,polygon
199570114,Chiesa Sant Edith Stein,,,polygon
182027411,Chiesa di Sant'Orso,,,polygon
1428097209,Chiesa del Rosario,,,point
1845256495,Chiesa San Domenico,,,point
142804854,Santa Maria in Organo,,,polygon
205240191,San Giacomo e Sant'Anna,,,polygon
154202450,Santa Maria del bosco,,,polygon
198565936,Santa Lucia,,,polygon
1321424879,chiesa Sant'Agostino,,,point
1856749860,Santa Maria dei Fossi,,,point
1922171898,Santuario,,,point
158355008,San Giovanni Battista,,,polygon
58880132,Parrocchia Santa Maria Regina degli Apostoli alla Montagnola,,,polygon
1133891713,Cimitero nuovo,,,point
166734074,Oratorio di Madonna dell'Oppio,,,polygon
105262871,Parrocchia di Don Giovanni Battista,,,polygon
156085885,Chiesa di Ronchidoso,,,polygon
679194944,Chiesetta dell'Assunta,,,point
169041826,Chiesa di San Pietro,,,polygon
836515971,Sant Elena,,,point
221808106,Chiesa di San Pietro,,,polygon
185056269,S. Giovanni,,,polygon
1839762511,Chiesa Santa Lucia,,,point
116673497,Kirche Rabenstein,,,polygon
167378306,Chiesa parrocchiale Sant'Orsola,,,polygon
60096129,Chiesa e Convento di San Bonaventura,,,polygon
762368275,Capitello,,,point
166729233,Chiesa di Recovato,,,polygon
124722275,Santuario Santa Maria di Valverde,,,polygon
172145903,Chiesa di San Giorgio,,,polygon
1585739709,San Pantaleo,,,point
289473900,St. Prokulus,,,point
1178918670,Abbazia S. Giovanni in Argentella,,,point
160080819,Convento frati francescani,,,polygon
71907277,Chiesa di San Claudio,,,polygon
763544583,S.Lorenzino,,,point
1601765660,Chiesa della Madonna,,,point
2018203635,Chiesa della Visitazione,,,point
2040241811,S.Maria,,,point
1590504015,Santa Maria del Rosario,,,point
185080137,Sv. Marija,,,polygon
198095377,Ex Chiesa di Santa Maria Bambina,,,polygon
218056989,"Centro di Spiritualità e Cultura ""Don Paolo Chiavacci""",,,polygon
158966175,Chiesa Madonna della Salute,,,polygon
2161676408,Ex chiesa di Sant'Antonio,,,point
223318430,Chisa Di Craiscana,,,polygon
152396705,Cappella Regina Pacis,,,polygon
192771154,Chiesa Della SS.ma Annunziata,,,polygon
174467768,Maria Immacolata Ausiliatrice,,,polygon
2038000172,Chiesa di San Sebastiano,,,point
-1771245,Convento Suore Brignoline,,,polygon
154993982,Tempio dei Suffragi,,,polygon
120673622,Sacrario Militare,,,polygon
1836506004,Chiesa San Francesco Da Paola,,,point
756617458,oratorio,,,point
175845204,Chiesa,,,polygon
1879583914,San Francesco,,,point
134652625,Abbazia di S. Michele Arcangelo,,,polygon
1944932029,Chiesa San Agostino,,,point
1839732270,Cimitero,,,point
168470463,Chiesa di Migliara,,,polygon
574279810,chiesa,,,point
1743974634,capitello,,,point
222483168,S. Leonardo,,,polygon
178063247,Chiesa della Madonna di Bonaria,,,polygon
168722222,Madonna di San Siro,,,polygon
180008742,Kapelle,,,polygon
149977338,Sala del Regno dei Testimoni di Geova,,,polygon
162733814,Cattedrale di San Pietro,,,polygon
30300315,Istituto religioso,,,polygon
145700208,Chiesa di San Tommaso,,,polygon
185969435,San Salvatore in Summano,,,polygon
1890328546,San Domenico,,,point
87793709,Chiesa di Santa Chiara,,,polygon
2205957447,Basilica dei Fieschi,,,point
164908495,Cappella del Santo Sepolcro,,,polygon
167305897,Madonna Del Voto,,,polygon
100607575,San Giovanni in Venere,,,polygon
1851987562,Statua Madonna Nera,,,point
160982893,San Bernardo,,,polygon
31298050,Chiesa Madre,,,point
1069308863,Pfarrkirche Rabland,,,point
180322131,Chiesa di Santa Croce,,,polygon
201236757,Cattedrale,,,polygon
143257252,Chiesa di S.Maria Perlungo,,,polygon
47356089,Comunità degli Stimmatini di Sezano,,,polygon
184081478,Cattedrale Santa Maria Assunta di Gerace,,,polygon
165543458,Via Cristoforo Colombo,,,roads
204047240,Sant'Andrea,,,polygon
72612530,Santo Stefano,,,polygon
158946241,Museo Civico - Lapidiraio di Montagnana,,,polygon
618059929,Duomo di Chieri,,,point
172392661,Duomo di Stilo,,,polygon
897042767,Capitello (Madonna),,,point
158829075,Santella,,,polygon
185982721,Madonna del Lago Nero,,,polygon
163145159,Convento,,,polygon
161898411,Chiesa di San Benedetto,,,polygon
209037296,Duomo ala n°1,,,polygon
209037325,Duomo ala n°3,,,polygon
31297918,Chiesa di San Rocco,,,point
503443918,Chiesa di San Lorenzo,,,point
102551255,Santo Stefano di Sessano,,,polygon
722366011,Madonna di Lampedusa,,,point
43550170,Cappella di San Marchese,,,polygon
1133996718,Cimitero,,,point
1157383673,Madonnella,,,point
134084587,Parrocchia Sacra Famiglia in Rogoredo,,,polygon
2181231241,Chiesa dell'Assunta,,,point
191736779,Ss. Donato e Carpoforo,,,polygon
300302001,Chiesa S Francesco,,,point
2268180642,Chiesa ,,,point
1593973017,Merlano,,,point
1505648644,Chiesa di Sant'Ambrogio,,,point
2126487276,Cappella di San Giovanni Gualberto,,,point
188278621,Chiesa di Sant'Ilario a Port' Aurea,,,polygon
1456347505,Chiesa cristiana evangelica,,,point
2149599821,Congregazione Figlie di NS Eucarestia,,,point
1574874683,Chiesa S. Giovanni,,,point
133981116,Chiesa,,,polygon
142804856,Santa Maria in Organo,,,polygon
187386230,Chiesa di San Giacomo,,,polygon
679194941,Chiesa di S. Rita,,,point
153595444,Cappella de Larderel,,,polygon
1428098298,Chiesa Santa Lucia,,,point
1949524820,Parrocchia Stella Maris,,,point
174362348,Church,,,polygon
36817317,San Francesco,,,polygon
1775959591,San Francesco,,,point
184077496,Certosa di Serra San Bruno,,,polygon
144167283,S. M. Maddalena di Quinzono,,,polygon
113503038,chiesa di S.Marco e S.Michele,,,polygon
2058653502,Chiesa Santa Croce,,,point
202532735,San Michele,,,polygon
2209855095,Chiesa di San Michele Arcangelo,,,point
811800451,Chiesa di Spirito Santo,,,point
1495476205,Parrocchia San Clemente,,,point
209037492,Madonna del Runal,,,polygon
2291350277,Pieve di San Giovanni Battista a Recenza,,,point
851276060,Wolfsgrube - Fossa del Lupo,,,point
179649602,Capella San Giuseppe,,,polygon
174693206,Maria Vergine e San Lorenzo,,,polygon
2132300501,Madonna di Pompei,,,point
621138228,Cimitero di Gaggio in Piano,,,point
192771152,Basilica della Madonna delle Grazie,,,polygon
220483990,Madonna del Carmine,,,polygon
194311398,Chiesa di San Domenico,,,polygon
204662171,Convento dei Cappuccini,,,polygon
110550849,Immacolata a Montughi,,,polygon
-2168760,Convento della Santissima Annunciata Dei servi di Maria,,,polygon
1848333147,Chiesa San Francesco,,,point
192147128,La Madonnina,,,polygon
143369788,Chiesa di San Bernardo,,,polygon
158209457,Alpini,,,polygon
204723964,Chiesa di S. Colombano,,,polygon
182854999,Chiesa Spirito Santo,,,polygon
59056318,Chiesa di San Martino,,,polygon
2074517407,San Nicola,,,point
50338042,Pieve SS. Pietro e Paolo,,,polygon
1987430666,B.V. Maria Stella del mare,,,point
61683125,Chiesa di San Rocco,,,polygon
863149561,Santo Spirito,,,point
1762147412,S Agata,,,point
219116675,Madonna di Monte Vetro,,,polygon
161461584,Suore Salesiane del Sacro Cuore di Gesù,,,polygon
1577376613,Piazza Padre Pio Da Pietrelcina,,,point
1790644089,SS. Apostoli,,,point
867589353,Chiesa San Salvatore,,,point
185419192,Chiesa Madonna delle Grazie,,,polygon
129383695,Parrocchia Beato Bernardo di Baden,,,polygon
110576152,San Silvestro,,,polygon
-1921467,San Rocco,,,polygon
1898664838,Chiesa di Santa Maria Assunta e Santa Lucia,,,point
164908485,Casa di Caifa,,,polygon
146178219,Convento di San Lorenzo,,,polygon
935141374,San Giovanni Battista,,,point
838452419,Madonna dei Monti,,,point
174247094,Santa Lucia al Sepolcro,,,polygon
73549080,Cattedrale di Otranto,,,polygon
2281294090,S. Elena,,,point
618140032,San Luigi Gonzaga,,,point
152951829,Chiesa della Resistenza,,,polygon
2027988192,Convento degli Oliva,,,point
453231101,Abbazia di San Salvatore di Valdicastro,,,point
219966756,Chisa San Valentino 1300 DC,,,polygon
616872162,Parrocchia Mater Ecclesiae,,,point
1394236534,Ex Chiesa di Santa Margherita,,,point
2015777108,pieva sietina,,,point
34497187,St. Johann,,,polygon
162688273,Chiesa di Bigolino,,,polygon
183085469,Duomo,,,polygon
1861667774,Chiesa di Valle Buona,,,point
679669809,Chiesa S. Lucia,,,point
183341847,Santa Maria Assunta,,,polygon
132020865,Santa Maria in via Lata,,,polygon
168127683,Chiesa sconsacrata,,,polygon
203570005,Convento dei Padri Cappuccini,,,polygon
167305936,San Giorgio,,,polygon
51487157,Cimitero di Nebbiano,,,polygon
164408045,Chiesa della Natività di S. Maria Vergine,,,polygon
1405099351,Ave Maria,,,point
99006173,Chiesa di Sant'Agostino,,,polygon
1076396783,Chiesetta della Buona Morte,,,point
183989354,Santa Maria del Gesù,,,polygon
143256845,Chiesa di San Gregorio,,,polygon
155584871,Oratorio di San Giovanni Battista,,,polygon
158366234,Badiazza,,,polygon
153593428,Oratorio di Sant'Antonino,,,polygon
661144728,S.Giovanni Battista,,,point
1692924398,Pieve,,,point
1896261852,Chiesa San Filippo,,,point
1142902164,Madonna della Neve,,,point
2127306662,Chiesa di Santa Veronica,,,point
59385084,Sacello della Madonna del Grappa,,,polygon
183907622,Pieve di Urago Mella,,,polygon
200830148,Chiesa San Basilio,,,polygon
194311399,Chiesa di Santa Barbara,,,polygon
135661366,La Buca,,,polygon
96827838,Parrocchia,,,polygon
459533389,Pilun,,,point
-2802435,Ex Chiesa di Santa Chiara,,,polygon
1549587741,Cimitero di Vada,,,point
767933162,San Giuseppe da Copertino,,,point
212437694,Madonna dell'Albero,,,polygon
128435102,Chiesa di Santa Reparata,,,polygon
223118312,S. Girolamo Emiliani,,,polygon
1762147472,Il Deserto,,,point
138517364,San Pietro della Genca,,,polygon
155584868,Loggia di San Sebastiano,,,polygon
1324641340,Maria Schutz,,,point
164694059,Madonna del Carmine,,,polygon
167010350,Cappella Revedin,,,polygon
130468092,Chiesa Santissima Annunziata,,,polygon
212849258,Chiesetta San Martino,,,polygon
-2354096,Abbazia del Beato Angelo,,,polygon
220207958,Chiesa di Santa Maria dell'Abbondanza,,,polygon
164908491,Cappella della Veronica,,,polygon
1873548771,Chiesa,,,point
146374312,San Gregorio,,,polygon
139987067,Oratorio della Santa Croce,,,polygon
212014749,chiesa Madonna del Carmelo,,,polygon
978022055,Parrocchiale di Rivoira,,,point
164908487,Il carcere di Cristo,,,polygon
1436258439,S.S. Salvatore,,,point
2099656620,Cappelletta,,,point
185101090,Santa Maria delle Delizie,,,polygon
165543458,Via Cristoforo Colombo,,,line
223243742,Ex Convento di Santo Stefano,,,polygon
816741206,Duomo,,,point
1836503789,Oratorio,,,point
186273011,Chiesa di Sant'Antonio Abate,,,polygon
215025934,Chiesa di San Filippo  Neri,,,polygon
1036114445,Chiesa Madonna del Devesio,,,point
864901957,Chiesa Vado,,,point
1775885402,St. Michel,,,point
1739780335,Chiesa di San Domenico,,,point
2044591418,San Severo,,,point
217842299,Madonna Di Tessara,,,polygon
213876805,S. Francesco ai Cappuccini,,,polygon
177360391,San Paolo Apostolo,,,polygon
145993667,Guglielmo Marconi,,,polygon
36817315,San Maria,,,polygon
2146467220,S. Bernardo,,,point
174521977,Chiesa di San Giorgio,,,polygon
182887052,Santella San Giuseppe,,,polygon
198011462,Cappella della Villa Regoli,,,polygon
185465481,Oratorio del Crocifisso,,,polygon
193528270,Cappella Bonazzi,,,polygon
1601512794,Santuario Madonna della Grotta,,,point
1853304442,Pieve di San Gavino Adimari,,,point
222475005,S. Giuseppe,,,polygon
1211864620,Chiesa San Francesco da Paola,,,point
158964488,Chiesetta di Villa Fietta,,,polygon
1909114140,Chiesa di San Francesco,,,point
158961098,S.Giacomo,,,polygon
1474489476,San Calogero,,,point
2308206976,Madonnina della Punta,,,point
93117520,Rotonda di San Lorenzo,,,polygon
186403600,Chiesa Vecchia di Cavalo,,,polygon
2072572095,Chiesa,,,point
897042770,Oratorio di Villa Sermondi,,,point
202529478,San Domenico,,,polygon
135543360,Chiesa di Portacomaro Stazione,,,polygon
333789316,Santuario della Madonnina,,,point
189132666,Chiesa del SS. Salvatore,,,polygon
147863113,Parrocchia Santa Maria di Testona,,,polygon
2154066316,Ex chiesa di San Bartolomeo dell'olivella,,,point
169256590,Abbazia di Sant'Eutizio,,,polygon
1879705333,Santa Maria in Vivario,,,point
205178265,Chiesa del Carmine,,,polygon
986549729,Parrocchia San Francesco Da Paola,,,point
173805245,Chiesa di San Rocco,,,polygon
198274748,Vecchia Chiesa Parrocchiale,,,polygon
61683086,Cattedrale di Santa Maria Assunta,,,polygon
1695372425,Chiesa della Mucciatella,,,point
1789895353,Chiesa Madonna Immacolata,,,point
149956191,Chiesa di San Martino in Pedriolo,,,polygon
727459641,Grotta della Madonna di Lourdes,,,point
1213219664,Chiesa s. Andrea,,,point
534724371,Oratorio di Trezzo sull'Adda,,,point
211183136,S. Paolo,,,polygon
151399655,Chiesa di Casale,,,polygon
179584997,San Benedetto (Salesiani),,,polygon
198394378,Chiesa di San Leonardo,,,polygon
1133891886,Cimitero,,,point
154751134,Santa Maria di Belverde,,,polygon
2024856337,Chiesa di Santa Limbania,,,point
167388479,Villa Bertolucci,,,polygon
158560963,Monastero delle Monache Romite di Sant'Ambrogio,,,polygon
180715721,Cappella di Sant'Anna,,,polygon
221542656,Cappella della Madonna del Rosario,,,polygon
470305949,San Lorenzo,,,point
1944706912,Abbazia di Scalocchio,,,point
811809232,Chiesa di San Gaetano Catanoso,,,point
178942763,Chiesa del Carmine,,,polygon
-2390213,Eremo di San Michele,,,polygon
2030896150,10. Capitello: Madonna di San Rochetto,,,point
201206114,Monastero,,,polygon
1152863266,Parrocchia S.Andrea Corsini,,,point
222657120,San Martino,,,polygon
201188969,Monastero,,,polygon
2074517412,San Giuseppe,,,point
142023283,Santa Maria degli Angeli,,,polygon
160575797,Chiesa Russa,,,polygon
36817268,Collegiata,,,polygon
201838906,Chiesa Matrice di San Nicola,,,polygon
811801145,Chiesa del Volto Santo,,,point
167139154,Sant'Agnese,,,polygon
138842959,Chiesa di San Vidal,,,polygon
151090706,San Paolo,,,polygon
161427027,Santa Maria a Brucianesi,,,polygon
164578482,Cenobio,,,polygon
169814452,Cappella dell'Immacolata,,,polygon
412958072,San Michele,,,point
166335429,Cappella,,,polygon
2162861701,Madonna degli Angeli,,,point
-1992073,Convento dei Padri Cappuccini,,,polygon
198221972,Cappella Regina Pacis,,,polygon
91870043,Abbazia di Praglia,,,polygon
1743974004,capitello,,,point
759506740,Chiesa di Villaga,,,point
204485261,San Calogero,,,polygon
318967065,Abbazia di San Benedetto del Frondigliosi,,,point
130456516,Chiesa Nuova,,,polygon
130745221,Complesso Monumentale San Paolo,,,polygon
154145112,Convento di Sant'Ilarione,,,polygon
88809541,L'Arca - Ex chiesa di San Marco,,,polygon
158548106,Alpeggio La Certosa,,,polygon
811802373,Santuario di San Paolo,,,point
96966451,Madonna della Neve,,,polygon
938794945,Basilica di San Michele Arcangelo,,,point
185419194,Madonna delle Grazie,,,polygon
218491237,Chiesa di S.Andrea,,,polygon
369821052,Certosa Serra San Bruno,,,point
770216904,Madonna di,,,point
178225925,Frati Capuccini,,,polygon
217596372,Madonna Di Tessara,,,polygon
1804876619,Santuario di Canneto,,,point
1944637426,Chiesa di San Martino,,,point
36037666,Convitto Padri Stimmatini,,,polygon
1849768414,Chiesa Sant? Agostino,,,point
197654528,Cimitero nuovo,,,polygon
1165098391,S. Maria delle Case,,,point
222475007,S.Maria delle Grazie,,,polygon
1775959537,Duomo,,,point
1921756375,CHiesa di S. Pietro (sconsacrata),,,point
2058615646,Chiesa San Giuseppe,,,point
168274767,Church,,,polygon
145702834,San Giorgio,,,polygon
171381672,Sala del Regno dei Testimoni di Geova,,,polygon
85667620,Chiesa Barocca,,,polygon
191207999,Chiesa di S. Giuseppe al Lagaccio,,,polygon
208618179,Certosa di Pontignano,,,polygon
428291739,Capp.la Mad. Cotolivier,,,point
67491604,Sant'Alessandro,,,polygon
148149477,Chiesa di Pezzan,,,polygon
618059135,Chiesa di S. Giorgio,,,point
888322176,Capitello,,,point
197158420,Chiesa di sant'Apollinare,,,polygon
177597587,Missione evangelistica,,,polygon
102590652,Maria Maddalena dei Piani,,,polygon
1890288517,Santa Maria delle Grazie in San Pietro,,,point
165239661,Chiesa di San Vitale,,,polygon
201182769,Chiesa della Resurrezione,,,polygon
191110848,Convento dei Cappuccini,,,polygon
2222865908,San Giorgio e Beata Vergine Immacolata,,,point
1944706907,Abbazia San Michele Arcangelo,,,point
1428097847,Chiesa di Santa Maria delle Nevi,,,point
169565763,San Marco,,,polygon
164201802,Santa Rita,,,polygon
60684027,no name,,,polygon
1286736792,chiesa di S.Marco e S.Michele,,,point
205149380,PARROCCHIA MADONNA PELLEGRINA,,,polygon
37541494,Cimitero comunale,,,polygon
105263582,Oratorio S. Antonio Abate,,,polygon
1890293165,San Ciro Martire,,,point
127118495,Parrocchiale di San Giovanni B.,,,polygon
428291738,Capp.la S.Domenico,,,point
195594360,Oratorio del Garello,,,polygon
132832066,Auditorium San Barnaba,,,polygon
166785578,"Oratorio detto ""La Crispa""",,,polygon
1435306913,Chiesa di Oliero,,,point
190048966, Sant'Abbondio,,,polygon
973811056,Cappella di San Giorgio,,,point
776941326,S. Rosa,,,point
107373503,Chiesa di Santa Croce,,,polygon
183989811,Chiesa Madonna delle Grazie,,,polygon
1944666442,Oratorio di Colledestro,,,point
135710623,Chiesa,,,polygon
2020613899,Chiesa di Pianzo,,,point
1944932062,Chiesa San Nicolo,,,point
183992849,Cappella di Villa Vignola,,,polygon
1428097521,Chiesa Sant'Antonio Abate,,,point
2246485214,Capella Alpini,,,point
1389672592,S. Bachisio,,,point
210598888,St. Maria in der Schmelz,,,polygon
2165957402,Ex chiesa di Sant'Antonio di Padova,,,point
1440847135,Chiesetta S. Valentino,,,point
161461583,Istituto Ancelle Riparatrici,,,polygon
