pagename,osm_id,osm_type,osm_lon,osm_lat,wiki_lon,wiki_lat,distance,intersects
Basilica_di_Santa_Maria_in_Cosmedin,120854225,polygon,12.4817017962,41.8880911929,12.4816666667,41.8880555556,4.91616354554,True
Chiesa_di_Sant'Angelo_(Milano),40981259,polygon,9.19278384551,45.4758852563,9.19267,45.475943,10.9739586507,True
Tempio_israelitico_di_Modena,1477854877,point,10.9273858633,44.6471759851,10.9269138889,44.6463472222,99.4162010958,False
Pieve_di_San_Giovanni_Battista_a_Mensano,-2187195,polygon,11.0541441554,43.3007832091,11.0541833333,43.3007527778,4.64071269221,False
Chiesa_di_San_Leonardo_(Venezia),138843471,polygon,12.3269318635,45.4433855483,12.3267152,45.44341689,17.3051598327,False
Chiesa_di_Santa_Dorotea,204145400,polygon,12.4681362025,41.8921975778,12.468161,41.892127,8.10478992426,True
Chiesa_di_San_Sebastiano_(Livorno),630952981,point,10.3062070427,43.5490761386,10.306109,43.549147,11.1694321856,True
Chiesa_di_Santa_Maria_delle_Anime_del_Purgatorio_ad_Arco,123519124,polygon,14.2556781286,40.8506344007,14.2557,40.850571,7.2782611856,True
Chiesa_di_Nostra_Signora_del_Sacro_Cuore_(Roma),-941918,polygon,12.4736423033,41.8982421109,12.4735361111,41.8982416667,8.8122459493,True
Chiesa_di_Sant'Agrippino_a_Forcella,183993511,polygon,14.2620971134,40.8505883912,14.262085,40.85057,2.28355507361,True
Chiesa_di_San_Paolo_dentro_le_Mura,201319582,polygon,12.4942851866,41.9010688566,12.4941666667,41.9008333333,27.9474667102,False
Basilica_di_San_Lorenzo_(Milano),165882137,polygon,9.18207328558,45.4580955773,9.181941,45.457906,23.4732282616,False
Chiesa_di_San_Michele_Arcangelo_(Pescia),174330398,polygon,10.686779656,43.9002720718,10.686783,43.900325,5.88700136298,True
Chiesa_del_Sacro_Cuore_(Livorno),69305769,polygon,10.3322750316,43.5485286281,10.33195,43.5485083333,26.3630211301,False
Chiesa_di_San_Callisto,51368811,polygon,12.4703239315,41.8890405432,12.470511,41.889054,15.5974422093,False
Basilica_di_Santo_Stefano_Maggiore,27596761,polygon,9.19605790055,45.4622224237,9.1945,45.4623,122.148477081,False
Chiesa_di_Santa_Croce_alla_Lungara,204154962,polygon,12.4659101733,41.8943831964,12.466003,41.894451,10.7731030677,True
Chiesa_di_San_Michele_Arcangelo_(Busto_Arsizio),96372442,polygon,8.84587386075,45.612704751,8.845845,45.612702,2.27186463,True
Chiesa_di_San_Giovanni_della_Malva_in_Trastevere,142947156,polygon,12.4691919951,41.8920514093,12.469137,41.892095,6.65376406535,True
Chiesa_di_Nostra_Signora_Assunta_e_Santa_Zita,23856757,polygon,8.94873675448,44.403131183,8.94861111111,44.4032916667,20.4497527336,True
Eremo_di_Santa_Maria_alla_Sambuca,329675281,point,10.4149205295,43.5371204466,10.4148805556,43.5370166667,11.9744130287,True
Santuario_Madonna_d'Aiuto,36685947,polygon,13.4373613501,46.0048798873,13.437364,46.004882,0.311886675557,True
Chiesa_di_San_Giorgio_(Livorno),97222735,polygon,10.3096171844,43.5456394751,10.309671,43.545702,8.19585769052,True
Chiesa_di_Santa_Maria_Assunta_(Tatti),195636322,polygon,11.0274005218,43.0223607952,11.0273777778,43.0223694444,2.08810730861,True
Santuario_di_Santa_Maria_della_Misericordia,85058383,polygon,9.75213059645,45.3066257933,9.75502222222,45.3120083333,639.742399131,False
Basilica_dei_Santi_Bonifacio_e_Alessio,51246736,polygon,12.4786473691,41.8838406886,12.4788472222,41.8836472222,27.1462838885,True
Chiesa_di_San_Vittore_al_Corpo_(Milano),45420079,polygon,9.16996833094,45.4625762149,9.170084,45.462693,15.8211254935,True
Chiesa_di_San_Pio_X_(Conegliano),146083671,polygon,12.2882854533,45.8783814236,12.288376,45.878392,7.12701558982,True
Basilica_di_Sant'Eustachio,128740195,polygon,12.4757229233,41.8986419781,12.475844,41.8988,20.2239505034,False
Chiesa_di_San_Rocco_(Busto_Arsizio),471134145,point,8.84673252619,45.6106914891,8.846757,45.610715,3.23616968176,True
Basilica_di_Sant'Eufemia_(Milano),45735798,polygon,9.18857200092,45.4574915697,9.18852777778,45.4574722222,4.07288824717,True
Cappella_di_Maria_Immacolata,149221845,polygon,10.3198624986,43.5448635556,10.3195,43.5449055556,29.6652619302,False
Chiesa_di_Santa_Maria_della_Passione,164070432,polygon,9.20372633906,45.4652574492,9.203509,45.465263,17.0084351975,True
Basilica_dei_Santi_Cosma_e_Damiano,-1826131,polygon,12.48749218,41.8920828175,12.4872222222,41.8919444444,27.1689676093,False
Chiesa_dei_Santi_Stefano_e_Niccolao,174330406,polygon,10.6876786957,43.9046760656,10.687782,43.904641,9.16797489203,True
Santuario_della_Madonna_del_Divino_Amore,262161978,point,12.5425954615,41.7782416912,12.541449,41.778073,97.1384957546,False
Chiesa_di_Santa_Maria_Assunta_in_Castellare,186807036,polygon,10.6822590412,43.8847676102,10.682091,43.88477,13.5066131521,True
Basilica_di_Santa_Maria_Assunta_(Aquileia),36684771,polygon,13.3709561321,45.7696248512,13.3708333333,45.7697222222,14.4347754726,True
Chiesa_di_Sant'Anselmo_all'Aventino,-418303,polygon,12.4779572123,41.8821800199,12.478859,41.882695,94.2043660198,False
Chiesa_di_Santa_Croce_(Alassio),222990115,polygon,8.19047537209,44.017654316,8.18976111111,44.0175277778,58.9718276484,False
Basilica_di_San_Lorenzo_in_Damaso,125915784,polygon,12.4717791716,41.8968106155,12.4717166667,41.8968666667,8.10329330117,True
Duomo_di_Verona,138809135,polygon,10.997017219,45.4472378764,10.9969444444,45.4472222222,5.95313846228,True
Basilica_di_Santa_Maria_in_Via_Lata,130807533,polygon,12.4813122836,41.8981155363,12.4811111111,41.8980555556,17.974123477,False
