osm_id,name,type
36684604,Chiesa Cattolica Parrocchiale San Pio X,polygon
200681187,Parrocchia del Santissimo Crocifisso,polygon
1907010066,Santuario della Madonna della Selva,point
204613676,Chiesa di S. Tomaso,polygon
115917727,Chiesa S.Agostino,polygon
36687905,Maina di sopra,polygon
139940324,San'Antonio da Padova,polygon
695305340,Duomo,point
36685360,S. Piero,polygon
102487277,Chiesa Del Carmine,polygon
197676516,Chiesa Evangelica Valdese,polygon
616746374,Chiesa SS Crocifisso,point
52335646,Chiesa di S. Luigi dei Francesi,polygon
83480484,Chiesa di Santa Maria Ausiliatrice,polygon
636044432,San Timoteo,point
79739126,Chiesa di Sant'Antonio,polygon
29411522,Chiesa di Sant'Agata al Carcere,polygon
51455627,Chiesa del Carmine,polygon
1398508349,Chiesa di Santa Maria Assunta,point
58369144,Chiesa di Santo Spirito,polygon
152345604,Sant’Andrea di Quarto Superiore,polygon
170610280,Chiesa di Sant'Antonio,polygon
210220040,SS. Pietro e Paolo,polygon
73811772,Santissima Trinità Degli Spagnoli,polygon
90498862,Madonna della Neve,polygon
36877135,San Sebastiano,polygon
128569438,Santa Croce in Fossabanda,polygon
184643346,Santuario Madonna delle grazie,polygon
391317993,Chiesa di Sant'Anna,point
1739074572,Santuario Nostra Signora del Soccorso,point
1505240953,San Grato,point
729314069,Bet Talmud,point
207083335,Chiesa di San Giuseppe,polygon
2104388411,Chiesa di S. Martino,point
204816963,Chiesa di Sampierdicanne,polygon
1235745334,Chiesa Cristiana Evangelica Cinese,point
222548553,Sant'Andrea,polygon
79808361,Chiesa di Santa Maria Maggiore,polygon
182441615,Chiesetta a Ricordo dei Caduti e Dispersi in Guerra di Lumezzane S.S.,polygon
258568473,Collegiata di San Biagio,point
166695997,Chiesa di San Domenico,polygon
221842542,Chiesa di San Martino Vescovo,polygon
1256517540,San Paolo,point
672404491,San Francesco,point
201837010,Chiesa di Santa Maria Annunciata,polygon
373272439,Sankt Michael,point
48038741,Chiesa Madre (Matrice) di Maria Santissima del Rosario,polygon
1350268063,Chiesa dell'Addolorata,point
92907605,Chiesa Parrocchiale di San Paolo Apostolo,polygon
172300404,Chiesa del Crocefisso,polygon
893356810,Chiesa Santi Martiri,point
152707338,Santa Maria Assunta,polygon
108706108,Chiesa dei Santi Nabore e Felice,polygon
2173587503,Chiesa Parrocchiale di Santa Maria Annunziata,point
1187054685,Santa Maria,point
65070836,Chiesa di San Salvatore,polygon
116193401,Basilica di Sansepolcro,polygon
648758550,San Pietro,point
89519634,Chiesa di Santa Cristina Vergnine e Martire,polygon
1436202983,S. Maria del Piano,point
27552899,bet Yoshef veEliau,point
167015929,Oratorio della Beata Maria Vergine del Santo Rosario,polygon
145702834,San Giorgio,polygon
161594721,Chiesa dei Frati Cappuccini,polygon
1432775083,Crocione,point
168933888,S. Maria Assunta Parish Church,polygon
130920751,Chiesa di San Macuto,polygon
1798025836,Chiesa dell'Incoronata,point
2268715382,Madonna di Grienzi,point
1405103625,Convento di Monteripido,point
143736877,San Leonardo,polygon
312670443,Santuario del Novelo,point
67845961,Santa Lucia,polygon
25263473,Oratorio,polygon
289108597,San Eustachio,point
27941069,Basilica di San Vittore,polygon
205651275,San Roberto Bellarmino,polygon
83049524,Oratorio di Nostra Signora della Neve,polygon
154084740,San Benedetto,polygon
158190135,Chiesa,polygon
177809411,San Matteo,polygon
1652012833,Oratorio del Confortino,point
36687823,Chiesa di Santa Geltrude,polygon
158591056,Sant'Apollinare in Classe,polygon
36687376,Chiesa di San Rocco,polygon
180009875,Pieve di San Pancrazio,polygon
156043301,St. Andreas,polygon
1630475215,San Donnino,point
199797755,Chiesa di San Zenone,polygon
1776349966,Oratorio delle SS Stimmate,point
146244455,Stella Maris,polygon
176833595,San Giacomo Apostolo ai Miracoli,polygon
197267699,Monastero di San Salvatore,polygon
1893797154,Sant. della Mad na di Quansc,point
148336171,Chiesa di S.S. Giacomo e Cristoforo,polygon
527352594,San Paolo,point
166788697,Chiesa di San Giacomo Maggiore,polygon
36686542,Chiesa Santissimi Pietro e Paolo,polygon
556975040,Chiesa Parrocchiale S. Croce,point
331486003,Chiesa di Strembo,point
78507283,Chiesa di S.Mauro,polygon
36686617,S. Agnese,polygon
86873789,Chiesa della Pinta,polygon
28524777,Santa Maria Maggiore,polygon
209288065,Oratorio di San Carlo,polygon
137827230,Convento Di S. Torpe',polygon
1033158591,San Lorenzo,point
404728794,Duomo,point
202639231,Chiesa di San Giovanni Battista,polygon
1638915116,Chiesa di Castelnovo,point
30977856,Santa Maria Goretti,polygon
85568112,Parrocchiale di San Martino,polygon
73039548,Chiesa di San Rocco,polygon
2119652401,Chiesa di San Mauro,point
176061139,Chiesa di S. Lucia,polygon
138804531,San Francesco della Vigna,polygon
987991405,Regina Pacis,point
189961821,Chiesa di Stra,polygon
429655810,Abbazia di Santo Stefano,point
148789498,St. Jakob im Sand - San Giacomo,polygon
166171823,San Beneto,polygon
1746059812,Madonna delle Vergini,point
194311398,Chiesa di San Domenico,polygon
927277815,Chiesa di Sant'Ambrogio,point
36686378,Chiesa del Santissimo Redentore,polygon
138845863,Gesù Divino Lavoratore,polygon
211257738,Chiesa Cappuccini,polygon
173433195,Madonna del Piano,polygon
134243959,Chiesa delle Crozzole,polygon
280991415,Cappella Regina Mundi,point
1480043356,Chiesa di Summaga,point
1943832843,Chiesa di San Pantaleone,point
121783562,cappelletta,polygon
338237716,Basilica Benedettina di S. Michele Arcangelo,point
155584868,Loggia di San Sebastiano,polygon
1402613233,Chiesa di San Giuseppe,point
36687549,Chiesa di Santa Gertrude,polygon
441130676,Chiesa degli SS. Rocco e Sebastiano,point
132267539,Chiesa di San Giacomo,polygon
199739112,Chiesa di San Rocco,polygon
1005410584,Santa Barbara,point
138800998,Santa Maria del Giglio o Zobenigo,polygon
222478453,Chiesa di San Abbondio,polygon
175844305,Cappella di San Giovanni Battista,polygon
36687891,Chiesa di San Nicolò,polygon
1404301824,San Chiaffredo,point
1717760171,San Colombano,point
1211237384,san rocco,point
437871180,Chiesa Campestre di S. Pietro,point
117056234,S. Bernardo,polygon
36686143,S. Andrea,polygon
2284053896,Chiesa di San Pietro,point
120293496,Chiesa dei Santi Quirico e Bartolomeo a Tonni,polygon
730216383,Sant'Agostino Vescovo e Dottore,point
145463940,Gesù Salvatore,polygon
101158682,Chiesa di San Faustino e Giovitta,polygon
1456831524,Chiesa del Motto,point
1985469123,Chiesa San Gregorio,point
1027271586,San Michele,point
204731802,Chiesa di S. Maria di Bressanoro,polygon
1701317828,Santa Brigida,point
177914545,Chiesa S.Bernardo,polygon
178810591,Chiesa di Pezzan,polygon
174362348,Church,polygon
1428096998,Chiesa Matrice Maggiore,point
2082738577,chiesa dell'Immacolata,point
1822698705,S. Maria del Carmine,point
567053442,Chiesa e Convento San Domenico,point
174181141,Santa Maria dell'Assunta,polygon
116051192,Chiesa San Gregorio Barbarigo,polygon
248772050,Santa Croce,point
70025484,Cappella di Campo,polygon
179144932,Santa Rita,polygon
219679019,Chiesa,polygon
36687615,S. Gottardo,polygon
45671470,Santa Maria presso San Satiro,polygon
164595795,Chiesa del Purgatorio,polygon
649390344,Chiesa di San Cristoforo,point
183856893,Chiesa parrocchiale di San Lorenzo,polygon
203604207,S. Ermete,polygon
185548871,Cattedrale di Avellino,polygon
133197746,Chiesetta Cascina Gogna,polygon
412357715,Chiesa del Redentore,point
343412575,Moschea,point
892831004,Chiesa di Santa Chiara,point
75571357,Chiesa della Santissima Annunziata,polygon
118438295,Parrocchia Madonna del Riparo,polygon
198375003,Chiesa di San Giovanni Battista,polygon
259656902,San Giuseppe M,point
1553417790,Nostra Signora D'Oropa,point
174517400,Arcivescovado,polygon
218453745,Monastero di Sant'Agostino,polygon
129579135,San Paolo,polygon
60517009,Santa Maria in Montesanto,polygon
125294867,Chiesa del Carmine,polygon
51368975,Basilica di S. Maria in Trastevere,polygon
202465631,Chiesa dei Santi Faustino e Giovita,polygon
209628196,Chiesa di San Germano Vescovo,polygon
311300934,San Gaetano,point
159959587,Chiesa di San Rocco,polygon
459652966,Pieve di San Casciano,point
727459641,Grotta della Madonna di Lourdes,point
624831816,Monastero San Francesco,point
107418631,San Marco Evangelista,polygon
105262610,Chiesa di S. Stefano,polygon
160484881,San Rocco,polygon
1879233054,Pieve di San Pancrazio,point
87124947,Santo Stefano,polygon
845053255,SS. Maria del Rosario,point
36894077,Chiesa di San Giorgio,polygon
1480968098,Santuario Di Retempio,point
275589587,San Francesco,point
204851020,Santuario della Madonnetta,polygon
1589763402,Santella di Crosnello,point
802393360,Grotta del Presepe,point
139026281,Santa Maria Ausiliatrice,polygon
214411079,Chiesa di Santa Maria Assunta,polygon
85573084,Madonna dell'Orsara,polygon
182085904,Chiesa Santa Maria delle Grazie,polygon
138814628,Tempio votivo,polygon
305996072,San Lorenzo,point
79705937,Cattedrale di San Lorenzo,polygon
98124049,Chiesa di San Giuseppe in Buon Gesù,polygon
25619192,Basilica dei Ss. Ambrogio e Carlo al Corso,polygon
36686859,Cuore Immacolato di Maria,polygon
125269578,San Donato,polygon
154522212,Chiesa Santi Pietro e Paolo,polygon
311739314,Santa Barbara,point
177152547,San Pietro (chiesa vecchia),polygon
156018068,Chiesa di Santa Maria Assunta,polygon
768938035,Chiesa di San Francesco,point
144331753,Santa Giovanna Antida Thouret,polygon
218559294,Župnijska cerkev Marije Vnebovzete,polygon
1832591574,"Chiesa ""Madonna regina della pace""",point
222129239,Chiesa di Lama Polesine,polygon
183907573,Chiesa della Natività della Beata Vergine,polygon
53368970,S.S. Trinità,polygon
167306146,San Giovanni Battista,polygon
175601911,Chiesa Loreto,polygon
212437502,San Giorgio e Beata Vergine Immacolata,polygon
1638474582,Chiesa di Castelmassa,point
209308873,San Lorenzo,polygon
337506745,Chiesa di Valeggio,point
59846033,Chiesa dei Santi Pietro e Paolo,polygon
1919118374,Maestà,point
200170120,Chiesa di Sant'Antonio Abate,polygon
703960629,Chiesa di Gello,point
289044740,Santuario Madonna della Corona,point
2194391136,Capitello della Cocca,point
128524939,Chiesa dei SS. Nazaro e Celso,polygon
143870276,Santa Croce e San Camillo,polygon
84337222,Pozzo Sant'Evasio,polygon
198693562,Capella S. Maria,polygon
167041905,Chiesa di San Domenico,polygon
1567804505,Santo Stefano,point
2160060821,Chiesa di Santa Maria degli Angeli,point
79594859,Chiesa Parrocchiale di San Sebastiano,polygon
86106140,SS. Rosario,polygon
514335505,Santuario Madonna di Loreto,point
36686993,S. Martino,polygon
151931769,Chiesa di San Savino,polygon
1132180557,Convento di S.Francesco,point
167002029,Chiesa di Sant'Antonio Abate,polygon
152030600,S. Mamante in Curiano,polygon
149053667,S. Giacomo,polygon
871137682,cuore immacolato di Maria,point
169643142,Chiesa di San Vito Martire,polygon
534557376,Chiesa di San Vittore,point
2146026467,Santuario della Madonna del Cerro,point
1843771179,San Francesco di Paola,point
193414704,Chiesa di San Giovanni Battista,polygon
87246286,Chiesa di San Zeno,polygon
457155685,Kirche zur Hl. Katharina und Jakobus,point
70539291,SS. Ippolito e Cassiano,polygon
36686075,S. Antonio,polygon
252144974,Chiesa di San Giuseppe,point
410692142,Chiesetta degli Alpini di Dos Casina,point
147940717,Chiesa del Sacro Cuore,polygon
84977617,Chiesa di Sant'Antonino,polygon
198970003,Chiesa di Santa Maria del Suffragio,polygon
151362407,Chiesa di Santa Maria delle Mole,polygon
746847462,S. Pietro,point
36687804,Madonna del Ponte,polygon
212099919,Chiesa di Santa Libera,polygon
673005623,Chiesa di Santa Maria Intervineas,point
28850245,Chiesa di Santa Maria di Massa,polygon
200797598,Chiesa cimiteriale del Carmine,polygon
222983360,Santa Maria Goretti,polygon
1909040931,Chiesetta Valico Eremiti,point
2131165271,x,point
663825156,San Leonardo da Porta Maurizio,point
1392586545,Madonna della Neve,point
58453623,Chiesa di San Giovanni Gerolosomitano,polygon
196878266,Chiesa di San Rocco,polygon
223404205,Chiesa,polygon
149735356,Oratorio di San Michele,polygon
28391974,Chiesa di San Lorenzo,polygon
42347057,Oasi della speranza,polygon
892500562,SANTA MARIA IN ZINZOLANO,point
41837433,San Caterina,polygon
1036363732,Chiesa Parrocchiale di S.S. Pietro e Paolo,point
91371849,Chiesa di San Salvatore a Monte,polygon
36685359,S. Bartolomeo,polygon
221162675,Cappella Madonna della Neve,polygon
197458357,Chiesa di San Lino,polygon
178669629,Chiesa di San Giacomo,polygon
364822443,Parrocchia San Michele Arcangelo,point
45363295,San Bartolomeo,polygon
24048692,San Cristoforo sul Naviglio,polygon
187055361,Chiesa Madonna del Casale,polygon
853271203,Chiesa di Santa Maria,point
146238210,Chiesetta di Balai Lontano,polygon
2315819259,Cappella XXVII,point
193722098,Chiesa di Ponte di Piave,polygon
311646770,Sant'Isidoro,point
175769750,San Bartolomeo Apostolo,polygon
69417568,San Lorenzo,polygon
695686845,Chiesa di S. Antonio,point
36685993,Chiesa di San Giorgio,polygon
1170001279,Cattedrale di S.Lorenzo,point
1432949578,Maestà della Fosa,point
1076786220,Chiesa Madonna dell'addolorata,point
208778338,Chiesa di Santa Caterina,polygon
131987476,Chiesa di S. Canziano,polygon
193352360,Cappella Tromen,polygon
157833904,Chiesa parrocchiale di Sant'Andrea,polygon
128686699,Chiesa di San Pio X,polygon
148421722,Santuario di Santa Augusta,polygon
59577170,Sacro Cuore alla Barriera,polygon
